keperluan,kategori
keperluan ik memangkasmerapikan rambutxd tempat tujuan sitoluamaxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kota pada perbaikan implementasi warta jemaat,Lainnya
keperluan ik melakukan pertemuan dengan mitra pkmxd tujuan tempat jl raja saul lumbantobing hutatoruan vi tarutung kabupaten tapanuli utara sumatera utaraxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kota,Lainnya
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
mengunjungi keluarga yang sedang koma di rs porsea,Bertemu Keluarga
requirement ke bpbd untuk keperluan pa,Lainnya
memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan pa,Lainnya
pengujian prototype oleh klien bpbd toba dari matakuliah proyek akhir iii,Tugas Kuliah
melakukan tahap analisis yaitu identifikasi karakteristik user dan merlakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat kabupaten tobaxd xd tempat baligexd keperluan pa,Lainnya
interview user terkait validasi mvp dari program mbkm studi independen kepada petani di desa pintu pohan,Lainnya
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
requirement gathering ke dinas perdagangan perindustrian dan koperasi usaha kecil dan menengah kabupaten toba dinas perindagkop ukm kabupaten toba untuk memenuhi kebutuhan tugas akhir dan gemastik,Tugas Kuliah
requirement gathering ke dinas perindustrian dan perdagangan kabupaten tapanuli utara untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
memperbaiki laptop karena diperlukan untuk perkuliahan secepatnya,Memperbaiki Barang
untuk mengikuti ibadah natal youth yang diselenggarakan oleh toba youth movement zaitun ministry balige yang bertempatkan di aula smk n balige dan saya ikut serta sebagai panitia dari acara tersebut,Lainnya
melakukan market research ke panti karya hephata,Lainnya
menjenguk orang tua ibu yang sedang sakit di porseaxd,Pergi ke Klinik
menjenguk orang tua ibu yang sedang sakit,Pergi ke Klinik
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
melakukan market research ke panti karya hephata,Lainnya
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
memperbaiki laptop,Memperbaiki Barang
melakukan market research ke homestay yang ada di sekitaran bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
menghadairi pesta acara keluarga manulangi natua tua di pahae,Bertemu Keluarga
cek darah,Lainnya
mengurus atm,Urusan Pribadi
penelitian ke desa sigapiton,Lainnya
requirement gathering ke dinas perindustrian dan perdagangan kabupaten tapanuli utara untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
wawancara warga setempat untuk analasis keperluan dataset tugas akhir dan akan wawancara dengan ukm sekitar toba,Tugas Kuliah
untuk mengikuti ibadah natal youth yang diselenggarakan oleh toba youth movement zaitun ministry balige yang bertempatkan di aula smk n balige dan saya ikut serta melayani sebagai penerima tamu,Lainnya
check up dan control gigi dikarenakan gusi dan langit langit mulut luka dan berdarah,Pergi ke Klinik
melakukan requirement gathering pertama dan mengumpulkan data untuk pemenuhantugas akhir ke dinas lingkungan hidup,Tugas Kuliah
melakukan market research ke cafe bistro dan hutanta untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market research ke cafe marsaringar daijo cafe dan lagos cafe serta grosir chaniago untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
requirement gathering ke dinas perdagangan perindustrian dan koperasi usaha kecil dan menengah kabupaten toba dinas perindagkop ukm kabupaten toba untuk memenuhi kebutuhan tugas akhir dan gemastik,Tugas Kuliah
requirement gathering ke dinas perindustrian dan perdagangan kabupaten tapanuli utara untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
menghadiri acara pemakaman oppung saya dihari kamis oktober,Lainnya
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
requirement gathering ke dinas perindustrian dan perdagangan kabupaten tapanuli utara untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraanxd,Tugas Kuliah
memperbaiki laptop,Memperbaiki Barang
mengambil spanduk ke balige untuk keperluan sosialisasi rumah kreatif toba,Bertemu Keluarga
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
melakukan market research ke panti karya hephata,Lainnya
mengantar orang tua ke bandara udara internasional silangit dengan jam keberangkatan wib tujuan batam saya mengajukan ik di jam dikeranakan masih membantu orangtua mempersiapkan barang mempersiapkan tiket dan melakukan check in,Memperbaiki Barang
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
