Damping,Preference,Num Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
0.5,,636,0.2016745747248786,7.766204667059566,1.4581579588852167
0.5,median,635,0.19968524494200118,7.727440495722617,1.4588598706243758
0.5,mean,625,0.202980892261146,7.925957671092357,1.4629150282075234
0.6,,609,0.20919573455717994,8.124150340456705,1.462019742699386
0.6,median,606,0.20606194023154148,8.100946492249797,1.4639858105982113
0.6,mean,609,0.20919573455717994,8.124150340456705,1.462019742699386
0.7,,581,0.22648416535549046,8.64349983081154,1.4595887396211267
0.7,median,576,0.22195811928198472,8.612485904194273,1.4628080655601845
0.7,mean,576,0.22262815083770016,8.616433865727544,1.46377718710922
0.8,,576,0.22195811928198472,8.612485904194276,1.4628080655601845
0.8,median,576,0.22195811928198472,8.612485904194273,1.4628080655601845
0.8,mean,577,0.2219396826793525,8.597781574011623,1.4628763942282659
0.9,,549,0.18502747519109775,8.391619563850115,1.5201105824058245
0.9,median,549,0.1851375741285394,8.39279902806822,1.519704096728136
0.9,mean,554,0.18098471321943224,8.293576724704536,1.5219004221368513
