keperluan,izin,kategori
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
