keperluan,izin,cluster
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
ingin bertemu orang tua,IB,4
ingin bertemu orang tua,IB,4
libur akhir tahun,IB,0
libur semester,IB,0
bertemu orang tua,IB,4
mengerjakan tugas proyek akhir,IB,0
mengerjakan tugas proyek akhir,IB,0
upaya it del dalam mencegah covid 19,IB,0
bertemu dengan orangtua dan persiapan mbkm,IB,1
bertemu orang tua,IB,4
rindu rumah dan rindu orangtua,IB,0
bertemu keluarga,IB,2
rindu orang tua dan rindu rumah,IB,0
libur paskah dan bertemu keluarga,IB,0
libur lebaran dan bertemu keluarga,IB,0
ingin bertemu keluarga,IB,2
bertemu orang tua,IB,4
acara keluarga dan mengurus kartu atm,IB,0
bertemu orangtua,IB,1
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,0
periksa kesehatan,IB,0
medical check up,IB,0
izin bermalam dirumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam dirumah,IB,0
izin bermalam dirumah,IB,0
izin bermalam di rumah,IB,0
terapi,IB,0
izin bermalam dirumah,IB,0
libur akhir semester ganjil 2022,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
ingin bertemu dengan keluarga,IB,2
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
membantu orangtua jualan,IB,0
libur paskah bersama orangtua,IB,0
cuti bersama libur lebaran,IB,0
izin bermalam dirumah,IB,0
izin bermalam di rumah,IB,0
rindu bertemu keluarga,IB,2
izin bermalam dirumah,IB,0
libur semester dan magang,IB,0
izin bermalam ke rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah_x000d_,IB,0
izin bermalam di rumah,IB,0
izin berobat,IB,0
menjenguk orangtua,IB,0
rindu orangtua,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
kembali ke rumah,IB,0
kembali ke rumah,IB,0
bermalam di rumah,IB,0
pulang ke rumah,IB,3
libur semester_x000d_,IB,0
jumpa orangtua,IB,0
pulang ke rumah,IB,3
membantu orangtua dirumah,IB,0
libur nasional,IB,0
pemilu,IB,0
acara keluarga,IB,2
libur nyepi,IB,0
libur paskah,IB,0
libur lebaran,IB,0
pulang ke rumah,IB,3
membantu orangtua_x000d_,IB,0
membantu orangtua,IB,0
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
pulang ke rumah,IB,3
periksa kesehatan,IB,0
medical check up,IB,0
izin bermalam dirumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam dirumah,IB,0
izin bermalam dirumah,IB,0
izin bermalam di rumah,IB,0
terapi,IB,0
izin bermalam dirumah,IB,0
libur akhir semester ganjil 2022,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
ingin bertemu dengan keluarga,IB,2
izin bermalam di rumah,IB,0
izin bermalam di rumah,IB,0
membantu orangtua jualan,IB,0
libur paskah bersama orangtua,IB,0
cuti bersama libur lebaran,IB,0
izin bermalam dirumah,IB,0
izin bermalam di rumah,IB,0
rindu bertemu keluarga,IB,2
izin bermalam dirumah,IB,0
libur semester dan magang,IB,0
